Make,Model,Year of Make,Sub Model,Highest Sale,Shelf
Chrysler,300 (AWD),2017,AWD,18,1
Chrysler,300,2015,"RWD , All models (Any kind of suspension)",71,4
Chrysler,300,2016,"RWD , All models (Any kind of suspension)",71,4
Chrysler,300,2017,"RWD , All models (Any kind of suspension)",71,4
Dodge,Challenger (Chrysler),2022,"(power rack and pinion), opt SDE (sport suspension)",71,4
Ford,F-150,2011,Electric With or Without Heavy Duty Towing Package,58,21
Ford,F-150,2012-2014,Electric With or Without Heavy Duty Towing Package,58,21
HONDA,ODYSSEY,2018-2020,All Models,5,0
Ford,Mustang,2015,All Wheel Size,14,6
Ford,Mustang,2016,All Wheel Size,14,6
Honda,Civic,2007,"1.3L (Hybrid, Sedan)",17,12
Ford,Mustang,2012,All Wheel Size,10,5
Ram,1500,2015,All models,65,2
RAM,1500,2019-2021,6-Lug (New Style),27,0
Ford,Fusion,2015,All Models,102,12
Ford,Edge,2015-2019,All Models,102,12
Ford,Escape,2015,All Models,172,15
Ford,Focus,2013-2018,All Models,172,15
Chevrolet,Silverado 1500,2015,All Models,106,2
Chevrolet,Silverado 1500,2016,All Models,106,2
Chevrolet,Silverado 1500,2017-2019,"All Models, classic style for 2019 ",106,2
Cadillac,Escalade,2015,All Models,106,2
Cadillac,Escalade,2016,All Models,106,2
Cadillac,Escalade,2017,All Models,106,2
Ford,Explorer,2014,2.0 or 3.5 W/O Automatic Park W/O Turbo,35,0
Volkswagen,Tiguan,2012,All Models,23,8
Volkswagen,Tiguan,2017,All Models,23,8
Audi,A4,2015,Without dynamic steering,12,0
BMW,320i,2015,"RWD, w/o Variable Ratio Sport Steering",10,14
Low  priority  ,,,,,
BMW,X528i,2012-2016,"AWD, with Integral Active Front Steering",3,0
Acura ,ILX,2016-2022,All Models,0,0
Acura,TSX,2011-2014,2.4L Models,0,0
Mercedes,E350,2020,AWD,0,0
FORD,BRONCO,2022,2.3L & 2.7L Models ,0,0
CHEVROLET,CAMARO ,2012-2015,14-15 6.2L & 7.0L Models,0,0
Hyundai,Genesis,2015-2016,"3.8L , AWD",1,1
CHEVROLET,CAMARO ,2016-2023,"LT, SS, LS Models",1,1
Acura ,RLX,2014-2015,Base Models,1,#N/A
Mercedes,C43 AMG,2017-2018,AWD,1,0
Lexus,LS460,2007-2012,RWD w/Air Suspension ,1,0
CHRYSLER,PACIFICA ,2021-2024,AWD Models,1,0
ACURA,RDX,2019-2023,All Models,1,0
FORD,TRANSIT-150,2022-2023,All Models,2,1
BMW,X1,2012-2015,2.0; RWD; with Electronic Power Steering,2,1
Buick,Envision,2016-2020,FWD,2,0
Subaru,WRX,2018-2021,"2018 w/ 18"" wheel; 2019-2021; Mnual & Automatic CVT w/ LIP ES ",3,2
Acura,TSX,2009-2010,2.4L; Base,3,0
BMW,528i,2015,"RWD, With active steering",3,0
Audi,A4,2017-2020,All Models,4,0
Cadillac,CTS,2014-2018,AWD,4,0
Ford,F-150,2021-2023,-,4,0
Acura,TLX,2015-2020,"3.5L , FWD",6,4
Subaru,Impreza,2015-2016,All Models,7,5
Cadillac,XTS,2014-2019,"Sedan, All Models",8,1
Lexus,GS300,2006,AWD,11,0
Dodge,Durango,2017-2020,3.6L and 5.7L,13,1
Buick,Enclave,2018-2021,All Models,20,5
new Racks,,,,,
Ford,Mustang,2018-2019,All Models,1,1
Ford,Mustang,2020-2023,All Models,0,0
Honda,Accord,2013-2015,3.5L Models; Sedan models,6,6
Acura,TSX,2011-2012,2.4L Models,0,0
Hydraulic,,,,,
BMW,Z3,1996-2002,All Models,4,0
Volkswagen,Eurovan,1992-2003,With 3.5 Turns Lock to Lock,2,0
Volkswagen,Vanagon,1980-1991,RWD,2,0
Ford,Crown Victoria,2008-2011,W or W/O Speed Sensor,17,16
Honda,Odyssey,1995-1998,"EX, LX",3,0
Honda,Accord,1990-1993,2WD Models,19,0
Ford,Transit Connect,2010-2013,All Models,11,12
Ford,Transit-150,2015-2019,"Base, XL, XLT",11,8
Gearbox,,,,,
RAM,4500,2015-2024,#N/A,0,0
Buick,Century,1973-1976,"3.8L , 5.7L , 7.5L",25,10
Dodge,RAM 2500,2003-2008,4WD   ,3,0
DODGE,D100,1984-1989,Power steering Gear,13,5
NISSAN,FRONTIER,2000-2004,"2.4L, 4 cylinder ",5,0
JEEP,GRAND CHEROKEE,2000,All Models,21,1
FORD,Excursion,2000-2005,,23,3
Ford,F-250,2008-2010,"F-250 Only, NO F-350, 2008: From 7/29 not Thru",17,3
DODGE,RAM 2500,2009-2016,Heavy Duty Upgrade; Differs in Appearance from O.E,23,36
FORD,F-250 SUPER DUTY,2005-2007,All Models,35,0
Chevrolet,Tracker,1992-1998,Power Steering Gear,3,#N/A
JEEP,WRANGLER,2007-2017,LHD 4 Door Models; w/ Power Gear,29,7
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
